ImageId,EncodedPixels
20200311_151734, 148719 12 149229 15 149740 17 150251 19 150763 20 151275 20 151787 21 152299 21 152811 22 153323 22 153835 23 154347 23 154859 24 155371 24 155883 25 156395 26 156907 26 157419 26 157931 27 158443 27 158955 27 159467 27 159979 28 160491 28 161003 28 161515 29 162027 29 162539 29 163051 29 163563 29 164075 29 164586 30 165098 31 165610 31 166123 30 166635 30 167147 30 167659 30 168171 30 168683 29 169195 29 169707 28 170219 28 170731 28 171243 27 171756 26 172267 26 172779 26 173291 25 173803 24 174317 22 174830 21 175342 21 175854 20 176366 19 176879 17 177391 17 177903 16 178415 14 178927 12 179439 11 179951 10 180463 10 180975 9 181487 9 182000 8 182512 8 183024 7 183536 6 184049 4
20200311_151734, 104742 5 105253 7 105764 8 106276 9 106787 11 107298 12 107809 13 108320 15 108831 16 109342 18 109852 21 110363 23 110874 25 111385 26 111896 28 112407 30 112919 30 113430 32 113942 32 114454 32 114966 32 115478 32 115989 33 116501 33 117013 33 117525 32 118037 32 118550 30 119062 30 119574 30 120086 29 120598 29 121111 28 121623 28 122135 28 122647 27 123160 26 123672 26 124184 25 124697 24 125209 23 125721 23 126233 23 126745 22 127257 21 127769 21 128281 19 128793 18 129305 18 129817 17 130328 17 130840 16 131352 16 131864 16 132376 15 132888 15 133400 14 133913 11 134426 9 134939 4
20200311_151734, 94514 8 95021 17 95531 21 96043 24 96554 26 97066 27 97578 29 98091 30 98604 31 99117 33 99630 33 100143 33 100656 33 101169 32 101681 33 102194 33 102707 33 103219 34 103731 35 104244 35 104756 36 105269 37 105781 39 106293 41 106806 42 107318 43 107831 43 108344 43 108856 43 109368 44 109880 44 110392 44 110904 44 111416 44 111929 43 112441 43 112954 42 113467 40 113981 38 114495 35 115008 33 115521 32 116035 29 116549 26 117063 23 117579 17
20200311_151734, 114939 5 115450 7 115959 10 116469 13 116980 14 117490 16 118001 17 118512 18 119022 20 119533 20 120040 25 120550 27 121061 27 121572 28 122082 30 122592 31 123101 34 123612 35 124123 36 124633 37 125145 37 125656 38 126166 40 126677 40 127188 41 127700 41 128211 42 128723 42 129234 42 129746 41 130258 40 130770 40 131281 40 131793 40 132305 39 132816 40 133328 39 133840 39 134352 39 134864 38 135376 38 135888 37 136400 37 136912 36 137425 34 137937 32 138449 31 138962 29 139474 28 139987 26 140500 25 141012 24 141524 24 142046 12 142562 6
20200311_151734, 89746 1 89759 4 90252 27 90762 31 91273 32 91784 34 92295 36 92807 37 93317 39 93828 41 94340 41 94851 42 95362 43 95874 43 96386 43 96897 44 97409 43 97920 42 98432 39 98944 37 99455 37 99967 34 100478 34 100990 34 101498 37 102010 36 102521 36 103031 38 103542 38 104053 38 104565 37 105076 38 105588 35 106100 31 106612 28 107124 26 107636 24 108148 22 108660 21 109172 18 109684 15 110197 11 110711 6
20200311_151734, 137893 19 138402 24 138912 27 139420 32 139931 34 140440 38 140952 38 141464 37 141974 40 142482 44 142992 46 143503 47 144015 47 144525 48 145037 48 145550 47 146062 46 146574 46 147087 44 147599 44 148112 42 148624 42 149136 42 149648 41 150161 40 150674 38 151186 38 151698 38 152211 36 152723 36 153236 34 153749 32 154263 30 154777 27 155291 23 155804 20 156317 18 156832 12 157345 10 157858 8
20200311_151734, 109718 8 110228 15 110739 22 111250 31 111762 40 112274 44 112786 45 113298 48 113811 51 114323 54 114835 55 115349 55 115862 56 116375 56 116888 55 117401 54 117915 52 118428 51 118941 49 119453 48 119966 47 120479 45 120992 44 121504 44 122017 42 122529 42 123042 40 123554 39 124067 38 124579 37 125092 35 125604 33 126117 31 126630 28 127143 25 127656 22 128170 18 128685 11
20200311_151734, 61108 5 61595 2 61617 11 61631 1 62106 5 62129 15 62618 11 62640 16 63129 15 63149 18 63639 40 64149 42 64660 43 65171 44 65683 44 66194 45 66706 44 67218 44 67730 44 68242 44 68754 43 69266 43 69778 43 70291 41 70803 41 71315 38 71828 37 72340 36 72853 34 73366 32 73878 32 74391 31 74904 30 75417 28 75929 28 76442 27 76954 24 77467 21 77980 18 78493 14 79006 10 79518 9 80032 6
20200311_151734, 128830 4 129340 6 129371 3 129852 7 129880 9 130363 8 130390 12 130875 9 130899 17 131386 43 131898 44 132410 45 132921 46 133433 46 133945 47 134457 47 134969 47 135481 46 135992 47 136504 47 137016 47 137528 46 138040 45 138552 44 139064 43 139576 42 140088 41 140600 40 141112 40 141624 39 142136 38 142648 37 143160 37 143673 34 144185 33 144698 31 145210 30 145723 28 146236 26 146750 23 147262 23 147775 22 148290 18 148802 17 149315 17 149828 13 150345 4
20200311_151734, 65762 5 66272 10 66783 12 67294 14 67806 15 68318 16 68830 16 69342 16 69854 17 70366 17 70878 17 71390 18 71902 19 72414 19 72925 21 73437 22 73949 23 74461 26 74973 28 75485 30 75997 31 76509 33 77021 35 77533 37 78045 39 78558 45 79070 50 79582 52 80095 52 80608 52 81121 52 81633 52 82146 50 82658 50 83170 49 83683 46 84195 43 84707 40 85220 38 85733 35 86245 34 86759 30 87272 27 87786 22 88300 17 88820 6
